"","Week_Key","Count_CDR_OPIE_ID","PHE_Region_Cd","nw_age_grp"
"1",201645,1,"UKK",".[45-64]"
"2",201827,1,"UKJ",".[65+"
"3",201702,1,"UKH",".[25-44]"
"4",201813,1,"UKI",".[45-64]"
"5",201810,1,"UKH",".[45-64]"
"6",201936,1,"UKI",".[05-14]"
"7",201344,1,"UKH",".[25-44]"
"8",201413,2,"UKE",".[25-44]"
"9",201805,3,"UKG",".[25-44]"
"10",201705,7,"UKI",".[00-04]"
"11",201915,4,"UKK",".[65+"
"12",201826,1,"UKE",".[65+"
"13",201307,7,"UKK",".[65+"
"14",201805,5,"UKK",".[65+"
"15",201847,1,"UKD",".[65+"
"16",201619,2,"UKI",".[65+"
"17",201618,2,"UKI",".[65+"
"18",201650,5,"UKH",".[65+"
"19",201740,3,"UKE",".[65+"
"20",201933,2,"UKI",".[15-24]"
"21",201540,1,"UKJ",".[65+"
"22",201733,2,"UKI",".[65+"
"23",201808,1,"UKJ",".[65+"
"24",201826,1,"UKH",".[65+"
"25",201810,1,"UKD",".[65+"
"26",201710,1,"UKK",".[45-64]"
"27",201347,1,"UKK",".[25-44]"
"28",201307,1,"UKJ",".[25-44]"
"30",201911,2,"UKG",".[65+"
"31",201817,1,"UKG",".[45-64]"
"32",201548,2,"UKD",".[25-44]"
"33",201325,1,"UKI",".[15-24]"
"34",201543,6,"UKK",".[00-04]"
"35",201750,1,"UKF",".[45-64]"
"36",201553,1,"UKH",".[45-64]"
"37",201310,2,"UKH",".[65+"
"38",201624,1,"UKG",".[45-64]"
"39",201520,1,"UKI",".[25-44]"
"40",201403,6,"UKK",".[65+"
"41",201517,1,"UKD",".[45-64]"
"42",201652,1,"UKH",".[65+"
"43",201415,2,"UKK",".[25-44]"
"44",201928,2,"UKE",".[65+"
"45",201931,2,"UKH",".[65+"
"46",201303,6,"UKK",".[00-04]"
"47",201508,1,"UKE",".[45-64]"
"48",201507,1,"UKF",".[05-14]"
"49",201617,3,"UKC",".[65+"
"50",201550,5,"UKI",".[00-04]"
"51",201714,1,"UKI",".[65+"
"52",201317,1,"UKI",".[25-44]"
"53",201618,1,"UKI",".[45-64]"
"54",201316,7,"UKF",".[65+"
"55",201837,1,"UKI",".[05-14]"
"56",201905,2,"UKJ",".[65+"
"57",201905,5,"UKD",".[65+"
"58",201317,4,"UKC",".[65+"
"59",201723,1,"UKK",".[05-14]"
"60",201513,3,"UKE",".[65+"
"61",201443,4,"UKE",".[65+"
"62",201637,1,"UKE",".[65+"
"63",201706,1,"UKE",".[45-64]"
"64",201525,1,"UKK",".[45-64]"
"65",201616,5,"UKK",".[65+"
"66",201844,2,"UKK",".[25-44]"
"67",201705,7,"UKD",".[00-04]"
"68",201645,1,"UKF",".[65+"
"69",201610,5,"UKG",".[65+"
"70",201308,2,"UKF",".[65+"
"71",201501,1,"UKE",".[65+"
"72",201743,1,"UKD",".[65+"
"73",201808,1,"UKD",".[65+"
"74",201331,1,"UKD",".[45-64]"
"75",201846,2,"UKH",".[65+"
"76",201607,7,"UKK",".[65+"
"77",201917,2,"UKJ",".[25-44]"
"78",201921,2,"UKK",".[45-64]"
"79",201601,1,"UKC",".[65+"
"80",201731,1,"UKI",".[25-44]"
"81",201730,2,"UKH",".[65+"
