day no. ,period,Date,School
1,winter holiday,01-Jan,0
2,winter holiday,02-Jan,0
3,winter holiday,03-Jan,0
4,spring term,04-Jan,1
5,spring term,05-Jan,1
6,spring term,06-Jan,1
7,spring term,07-Jan,1
8,spring term,08-Jan,1
9,spring term,09-Jan,1
10,spring term,10-Jan,1
11,spring term,11-Jan,1
12,spring term,12-Jan,1
13,spring term,13-Jan,1
14,spring term,14-Jan,1
15,spring term,15-Jan,1
16,spring term,16-Jan,1
17,spring term,17-Jan,1
18,spring term,18-Jan,1
19,spring term,19-Jan,1
20,spring term,20-Jan,1
21,spring term,21-Jan,1
22,spring term,22-Jan,1
23,spring term,23-Jan,1
24,spring term,24-Jan,1
25,spring term,25-Jan,1
26,spring term,26-Jan,1
27,spring term,27-Jan,1
28,spring term,28-Jan,1
29,spring term,29-Jan,1
30,spring term,30-Jan,1
31,spring term,31-Jan,1
32,spring term,01-Feb,1
33,spring term,02-Feb,1
34,spring term,03-Feb,1
35,spring term,04-Feb,1
36,spring term,05-Feb,1
37,spring term,06-Feb,1
38,spring term,07-Feb,1
39,spring term,08-Feb,1
40,spring term,09-Feb,1
41,spring term,10-Feb,1
42,spring term,11-Feb,1
43,spring term,12-Feb,1
44,half term,13-Feb,0
45,half term,14-Feb,0
46,half term,15-Feb,0
47,half term,16-Feb,0
48,half term,17-Feb,0
49,Spring term,18-Feb,1
50,Spring term,19-Feb,1
51,Spring term,20-Feb,1
52,Spring term,21-Feb,1
53,Spring term,22-Feb,1
54,Spring term,23-Feb,1
55,Spring term,24-Feb,1
56,Spring term,25-Feb,1
57,Spring term,26-Feb,1
58,Spring term,27-Feb,1
59,Spring term,28-Feb,1
60,Spring term,01-Mar,1
61,Spring term,02-Mar,1
62,Spring term,03-Mar,1
63,Spring term,04-Mar,1
64,Spring term,05-Mar,1
65,Spring term,06-Mar,1
66,Spring term,07-Mar,1
67,Spring term,08-Mar,1
68,Spring term,09-Mar,1
69,Spring term,10-Mar,1
70,Spring term,11-Mar,1
71,Spring term,12-Mar,1
72,Spring term,13-Mar,1
73,Spring term,14-Mar,1
74,Spring term,15-Mar,1
75,Spring term,16-Mar,1
76,Spring term,17-Mar,1
77,Spring term,18-Mar,1
78,Spring term,19-Mar,1
79,Spring term,20-Mar,1
80,Spring term,21-Mar,1
81,Spring term,22-Mar,1
82,Spring term,23-Mar,1
83,Spring term,24-Mar,1
84,Spring term,25-Mar,1
85,Spring term,26-Mar,1
86,Spring term,27-Mar,1
87,Spring term,28-Mar,1
88,Spring term,29-Mar,1
89,Spring term,30-Mar,1
90,Spring term,31-Mar,1
91,Spring term,01-Apr,1
92,Spring term,02-Apr,1
93,Easter,03-Apr,0
94,Easter,04-Apr,0
95,Easter,05-Apr,0
96,Easter,06-Apr,0
97,Easter,07-Apr,0
98,Easter,08-Apr,0
99,Easter,09-Apr,0
100,Easter,10-Apr,0
101,Easter,11-Apr,0
102,Easter,12-Apr,0
103,Easter,13-Apr,0
104,Easter,14-Apr,0
105,Summer term,15-Apr,1
106,Summer term,16-Apr,1
107,Summer term,17-Apr,1
108,Summer term,18-Apr,1
109,Summer term,19-Apr,1
110,Summer term,20-Apr,1
111,Summer term,21-Apr,1
112,Summer term,22-Apr,1
113,Summer term,23-Apr,1
